PROMISE,STATUS AND COMMENTS,LINKS
Double the Farmers' Income (2016-2022),"From 2016 to 2021, real farmer income per capita decreased by 1.5%. No data available for 2021-22.",
"Creation of 10,000 Farmer Producer Organizations","Nearly 7,600 FPOs were registered till November 30, 2024, achieving 76% of the target.",Business Standard Article
Launch a Pension Scheme for Small and Marginal Farmers,1.9 People Registerd,https://pmksy-mowr.nic.in/aibp/
Complete Irrigation Projects under Pradhan Mantri Krishi Sinchayi Yojana,47.46% of the projects completed.,https://maandhan.in/maandhan/summary
Provide Short-Term Agriculture Loans,No specific achievement data provided.,
Increase Cropped Area Under Irrigation,"In 2022-23, irrigation access increased to 52% of the 141 million hectares of gross sown area, up from 41% in 2016.",Hindustan Times Article
Work Towards Digitizing Land Records,"The Centre has aimed to digitize land records across all districts by March 31 next year. As per the Digital India Land Records Modernization Programme (DILRMP), 94% of digitization targets have already been achieved.",Times of India Article
Strive to Ensure All-Weather Connectivity for Every Village,PMGSY-I almost complete with 96.24% of roads built. PMGSY-II and RCPLWEA have seen substantial progress with completion percentages of 97.01% and 55.61% respectively. PMGSY-III is 51.02% complete with a target completion date of March 2025.,Sansad Committee Report
Assist Fishermen via Matsya Sampada Yojana,"- PM Modi launched the ₹20,050 crore PMMSY in Sep 2020.<br>- Seafood exports increased to ₹63,969.14 crore during FY 2022-23, a 111.73% increase despite pandemic challenges. Fish production increased from 95.79 lakh tonne in 2013-14 to 162.48 lakh tonne at the end of 2021-22.<br>- Fisheries sector growth rate of 8.61% from 2014-15 to 2021-22.<br>- GVA of Fisheries Sector increased significantly from 2013-14 to 2021-22.",https://www.business-standard.com/industry/news/inland-fish-production-up-over-2-fold-in-9-yrs-to-13-1-mn-tonnes-minister-123111600508_1.html https://www.millenniumpost.in/nation/seafood-exports-more-than-doubled-in-nine-years-of-modi-rule-rupala-523750https://static.pib.gov.in/WriteReadData/specificdocs/documents/2023/apr/doc2023428189601.pdf
Pradhan Mantri Kisan Samman Nidhi Yojana to ensure financial support to farmers owning land up to 2 hectares.,"Under the scheme, 23,36,469 farmers have been enrolled till June 2023.",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1946814
₹25 lakh crore investment in Agri-rural sector,Budget allocated,https://economictimes.indiatimes.com/news/economy/agriculture/govt-to-spend-rs-25-lakh-cr-to-boost-rural-economy-over-rs-43k-cr-disbursed-under-pm-kisan-scheme/articleshow/73797931.cms?from=mdr
Interest-free Kisan Credit Card loans,Loans being provided but not interest free,https://www.indiatoday.in/fact-check/story/fact-check-centre-not-interest-free-loans-kcc-scheme-april-1-1926214-2022-03-16
Oilseeds Mission,Work has been started on it,https://www.livemint.com/industry/agriculture/government-to-launch-oilseed-mission-11664124340866.html
National Feed and Fodder Mission to eliminate the shoage of fodder,"India facing fodder shortage, increasing milk prices",https://www.livemint.com/news/india/country-faces-fodder-crisis-milk-prices-could-rise-11701192692028.html
