2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year,ROUGE_1,ROUGE_2,ROUGE_L,BERTScore_P,BERTScore_R,BERTScore_F1
10 YEARS OF GOOD GOVERNANCE AND VIKAS THE LAST 10 YEARS PRESENTED A UNIQUE MODEL OF INCLUSIVE GROWTH TO THE WORLD GARIB PARIVAR JAN 80+ crore citizens are receiving free rations since 2020 through PM Garib Kalyan Anna Yojana 50+ crore citizens have joined the banking system through PM Jan Dhan Account Empowered citizens by transferring ₹34 lakh crore directly to their accounts 34+ crore citizens are receiving free health insurance of ₹5 lakh under Ayushman Bharat 4+ crore families now have pucca houses under the PM Awas Yojana and other initiatives 14+ crore families have access to clean tap water under the Jal Jeevan Mission,Low Confidence: Partial,0.509,Ensure every citizen has access to a bank account,2019,0.10434782608695653,0.01769911504424779,0.052173913043478265,0.62710524,0.78805673,0.6984282
25 crore citizens have come out of poverty with our inclusive approach NARI SHAKTI Lives of 10+ crore women have been transformed due to free gas connections under the PM Ujjwala Yojana Empowered Muslim women by protecting them from the barbaric practice of Triple Talaq 11+ crore women are leading dignified lives by using toilets built under the Swachh Bharat Mission. 6+ crore mothers and children have been vaccinated under Mission Indradhanush Increased paid maternity leave from,Low Confidence: Partial,0.5179,"We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home.",2014,0.15841584158415842,0.0,0.1188118811881188,0.71589774,0.79551834,0.7536109
12 to 26 weeks,Indeterminate,0.3944,time-bound delivery,2014,0.0,0.0,0.0,0.63886034,0.6255222,0.6321209
5 5,Indeterminate,0.3303,Ensure the availability of banking services within 5 kms of every individual,2019,0.14285714285714285,0.0,0.14285714285714285,0.6731787,0.55749464,0.60989946
"7 IITs, 16 IIITs, 7 IIMs, 15 AIIMS, 315 Medical Colleges and 390 universities have been set up. 1.4+ crore young citizens availed skill training under the PM Kaushal Vikas Yojana Enabled the creation of the world’s third-largest startup ecosystem Enacted the Public Examinations (Prevention of Unfair Means) Act 2024 to prevent paper leaks Supported 280 athletes to excel in the Olympics and other sporting events under TOPS. KISAN SAMMAN 11+ crore farmers are receiving ₹6,000 annually under the PM KISAN Unprecedented hike in MSP 5x increase in the agriculture budget from 2013 to 2024 Livelihood of 4+ crore farmers protected under the PM Fasal Bima Yojana Ensured affordable fertilisers despite huge increase in global prices by providing subsidies worth ₹11 lakh crore. 6",Low Confidence: Highly Likely,0.5582,Establish sports academies across the country.,2014,0.029850746268656716,0.0,0.029850746268656716,0.6116679,0.7299526,0.6655959
"7 IITs, 16 IIITs, 7 IIMs, 15 AIIMS, 315 Medical under Stand Up India Colleges and 390 universities have been set up. Focus on 112 aspirational districts and 500 aspirational blocks to bring them on par 1.4+ crore young citizens availed skill training under the PM Kaushal Vikas Yojana Started PM Janman Yojana for Particularly Vulnerable Tribal groups with an outlay of ₹24,000+ crore Enabled the creation of the world’s Started Vibrant Villages programme to develop 662 border villages with an outlay of ₹4,800 crore third-largest startup ecosystem Established the basic social security framework for unorganised workers by ensuring their Enacted the Public Examinations (Prevention of recognition and registration through e-Shram and starting schemes like Atal Pension Yojana, PM Unfair Means) Act 2024 to prevent paper leaks Shramyogi Maandhan Yojana and PM Jeevan Jyoti Beema Yojana Supported 280 athletes to excel in the Olympics and other sporting events under TOPS. KISAN SAMMAN 11+ crore farmers are receiving ₹6,000 annually under the PM KISAN Unprecedented hike in MSP 5x increase in the agriculture budget from 2013 to 2024 Livelihood of 4+ crore farmers protected under the PM Fasal Bima Yojana Ensured affordable fertilisers despite huge increase in global prices by providing subsidies worth ₹11 lakh crore.",Low Confidence: Partial,0.5755,"Increase the number of medical and para-medical colleges to make India self sufficient in human resources, and set up an AIIMS like institute in every state.",2014,0.13389121338912136,0.008438818565400845,0.06694560669456068,0.6605758,0.78372866,0.7169017
7 7,Indeterminate,0.3656,Poshan Abhiyaan.,2019,0.0,0.0,0.0,0.5800332,0.53798616,0.558219
9 9,Indeterminate,0.3965,people-centric,2014,0.0,0.0,0.0,0.57681584,0.56708395,0.57190853
far-reaching benefits of this programme. We will now further expand the PM Awas Yojana to ensure every garib parivar has access to quality housing. Har Ghar Nal se Jal,Low Confidence: Partial,0.5819,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019,0.2857142857142857,0.1276595744680851,0.24489795918367346,0.7846068,0.80873847,0.7964899
"We will ensure clean drinking water, Har Ghar Nal se Jal for all households in villages, towns and cities. We will extensively use technology to reduce the wastage of water. Slum Redevelopment",High Confidence: Partial,0.7029,We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,2019,0.2692307692307692,0.12000000000000001,0.23076923076923075,0.77504015,0.8252291,0.7993475
