"original_text","review_text","label","score"
"(cid:1) We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home. Education - Enroll and Excel BJP believes that education is the most powerful tool for the advancement of the nation and the most potent weapon to fight poverty. Education in India needs to be revitalized and reorganized to make future generations proud of their culture, heritage and history and also for creating confidence in the vitality of India. Every effort shall be made to ensure 'equality of opportunity in access and success' to all learners; creating a harmonious, and cohesive egalitarian society that practices democratic values. This would be possible only when Education accords due emphasis on national integration, social cohesion, religious amity, national identity and patriotism. It must also be analyzed how far education has contributed to moral, ethical and humanistic values in the individuals and the society. Education must create minds free from superstitions, hatred and violence and become an important vehicle to cement national unity, social cohesion and religious amity. Our endeavour should be to inculcate moral, ethical and humanistic values in the individuals and the society. India has to become a knowledge society and has to reverberate with educated skilled manpower of high standards required to meet the challenges of 21st century. This requires a bold and visionary leadership to introduce appropriate policy and structural changes. Highest priority would be given to address the acute shortage of teachers and researchers, quality of education and research, and also the employability factor associated with most of the courses. Education should not only lead to employability but also job creation and entrepreneurship by introducing a national multi-skills orientation program. 22","High priority to job creation and Opportunities for entrepreneurship.","0","89"
"opportunities for entrepreneurship. We will: (cid:1) strategically develop high impact domains like Labour-intensive manufacturing (viz. textile, footwear, electronics assembly, etc.) and Tourism. (cid:1) strengthen the traditional employment bases of agriculture and allied industries, and retail - through modernization as well as stronger credit and market linkages. 4","Strategically develop high impact domains like Labour- intensive manufacturing (viz. textile, footwear, electronics assembly, etc.) and Tourism.","2","100"
"opportunities for entrepreneurship. We will: (cid:1) strategically develop high impact domains like Labour-intensive manufacturing (viz. textile, footwear, electronics assembly, etc.) and Tourism. (cid:1) strengthen the traditional employment bases of agriculture and allied industries, and retail - through modernization as well as stronger credit and market linkages. 4","Strengthen the traditional employment bases of agriculture and allied industries, and retail -through modernization as well as stronger credit and market linkages.","0","100"
"To ensure drinking water security to all. We will: (cid:1) Encourage setting up of drinking water supply grid in water scarce areas. (cid:1) Promote decentralized, demand-driven, community-managed water resource management, water supply and environmental sanitation. (cid:1) Facilitate piped water to all households. Energy - Generate More, Use Rationally, Waste Less BJP realizes the need to focus on generation and distribution of power as a national security issue, so that the growth is not negatively impacted due to supply issues in the energy sector. The overarching goal of energy security is to ensure affordable energy for various consumer segments. Steps will be taken to avoid over- dependence on any one fuel and ensure supplier diversity, to avoid reliance on one supplier, country and developing indigenous capacities to meet the emerging needs. BJP will: (cid:1) Come out with a responsible and comprehensive 'National Energy Policy'. (cid:1) Focus on development of energy infrastructure, human resource development and upgradation of technology. (cid:1) Take steps to maximize the potential of oil, gas, hydel power, ocean, wind, coal and nuclear sources. BJP considers energy efficiency and conservation crucial to energy security. (cid:1) Set up small-hydro power generation projects to harness the hydropower that is not being used at the moment. Small projects can be set up with local support and without displacement of the local population. (cid:1) Take Steps to increase the domestic coal exploration and production, to bridge the demand and supply gap. Oil and gas explorations would also be expedited in the country. This will also help to reduce the import bill. (cid:1) Give a thrust to renewable sources of energy as an important component of India's energy mix. (cid:1) Expand and strengthen the national solar mission. Science and Technology - India Innovates and India Leads India has been a knowledge economy and has been a leader in science and technology from the ancient times. India now needs policies and programs to reclaim its global leadership position in science and technology. BJP recognizes the need to create an ecosystem for fundamental research and innovation, keeping the objective of science with a human face in the service of the common man. Science and technology has enormous potential to bridge the disparities between the urban and rural India, rich and poor. Scientific education and technology needs to be encouraged, promoted, practiced and leveraged with renewed vision and vigour. BJP recognizes the central role of science and technology in raising the quality of life of the people of the country, particularly of the disadvantaged sections of society in creating wealth for all, in making India globally competitive, in utilizing natural resources in a sustainable manner, in protecting the","Harness the opportunities provided by the upgradation of infrastructure and housing, for its job generating potential.","0","72"
"We will establish a system, which eliminates the scope for corruption. We will do this through: (cid:1) public awareness (cid:1) technology enabled e-Governance - minimizing the discretion in the citizen-government interface. (cid:1) system-based, policy-driven governance - making it transparent. (cid:1) rationalization and simplification of the tax regime - which is currently repulsive for honest tax payers. (cid:1) simplification of the processes and procedures at all levels - bestowing faith in the citizens, institutions and establishments. Black Money By minimizing the scope for corruption, we will ensure minimization of the generation of black money. BJP is committed to initiate the process of tracking down and bringing back black money stashed in","Eliminate the scope for corruption.","2","83"
"We will establish a system, which eliminates the scope for corruption. We will do this through: (cid:1) public awareness (cid:1) technology enabled e-Governance - minimizing the discretion in the citizen-government interface. (cid:1) system-based, policy-driven governance - making it transparent. (cid:1) rationalization and simplification of the tax regime - which is currently repulsive for honest tax payers. (cid:1) simplification of the processes and procedures at all levels - bestowing faith in the citizens, institutions and establishments. Black Money By minimizing the scope for corruption, we will ensure minimization of the generation of black money. BJP is committed to initiate the process of tracking down and bringing back black money stashed in","Technology enabled e-Governance -minimizing the discretion in the citizen-government interface.","2","100"
"We will establish a system, which eliminates the scope for corruption. We will do this through: (cid:1) public awareness (cid:1) technology enabled e-Governance - minimizing the discretion in the citizen-government interface. (cid:1) system-based, policy-driven governance - making it transparent. (cid:1) rationalization and simplification of the tax regime - which is currently repulsive for honest tax payers. (cid:1) simplification of the processes and procedures at all levels - bestowing faith in the citizens, institutions and establishments. Black Money By minimizing the scope for corruption, we will ensure minimization of the generation of black money. BJP is committed to initiate the process of tracking down and bringing back black money stashed in","System-based, policy-driven governance - making it transparent.","2","100"
"We will establish a system, which eliminates the scope for corruption. We will do this through: (cid:1) public awareness (cid:1) technology enabled e-Governance - minimizing the discretion in the citizen-government interface. (cid:1) system-based, policy-driven governance - making it transparent. (cid:1) rationalization and simplification of the tax regime - which is currently repulsive for honest tax payers. (cid:1) simplification of the processes and procedures at all levels - bestowing faith in the citizens, institutions and establishments. Black Money By minimizing the scope for corruption, we will ensure minimization of the generation of black money. BJP is committed to initiate the process of tracking down and bringing back black money stashed in","Rationalization and simplification of the tax regime - which is currently repulsive for honest tax payers.","2","100"
"We will establish a system, which eliminates the scope for corruption. We will do this through: (cid:1) public awareness (cid:1) technology enabled e-Governance - minimizing the discretion in the citizen-government interface. (cid:1) system-based, policy-driven governance - making it transparent. (cid:1) rationalization and simplification of the tax regime - which is currently repulsive for honest tax payers. (cid:1) simplification of the processes and procedures at all levels - bestowing faith in the citizens, institutions and establishments. Black Money By minimizing the scope for corruption, we will ensure minimization of the generation of black money. BJP is committed to initiate the process of tracking down and bringing back black money stashed in","simplification of the processes and procedures at all levels bestowing faith in the citizens, Institutions and establishments.","2","100"
"We will establish a system, which eliminates the scope for corruption. We will do this through: (cid:1) public awareness (cid:1) technology enabled e-Governance - minimizing the discretion in the citizen-government interface. (cid:1) system-based, policy-driven governance - making it transparent. (cid:1) rationalization and simplification of the tax regime - which is currently repulsive for honest tax payers. (cid:1) simplification of the processes and procedures at all levels - bestowing faith in the citizens, institutions and establishments. Black Money By minimizing the scope for corruption, we will ensure minimization of the generation of black money. BJP is committed to initiate the process of tracking down and bringing back black money stashed in","We will ensure minimization of the generation of black money. Committed to initiate the process of tracking down and bringing back black money stashed in foreign banks and offshore accounts. We will also proactively engage with foreign governments to facilitate information sharing on black money.","2","71"
