Feature,Importance
policy,0.014425074083973194
effective,0.010774527778510859
courts,0.009766378732664897
bjp,0.009112742434395301
review,0.00901378039437362
strengthening,0.008830630696740206
tax,0.008706930569700488
provide,0.008685732140541028
comprehensive,0.008581942152975914
mission,0.008279385155420522
corruption,0.007996665143584577
steps,0.007862321298889892
include,0.0077368788813672274
education,0.007535177428530517
healthcare,0.00745484015665977
schemes,0.007336927717169731
task,0.007298417978413451
process,0.007262762888075146
state,0.00726005961868648
ram,0.0070569992122466695
