"original_text","label","year","sector"
"Our immediate task will be to rein in Inflation","1","2014",""
"Put in place strict measures and special Courts to stop hoarding and black marketing.","1","2014",""
"Setting up a Price Stabilisation Fund.","1","2014",""
"Unbundle FCI operations into procurement, storage and distribution for greater efficiency.","1","2014",""
"Leverage on technology to disseminate Real time data, especially to farmers - on production, Prices, imports, stocks and overall availability.","1","2014",""
"Evolve a single 'National Agriculture Market'.","1","2014",""
"High priority to job creation and Opportunities for entrepreneurship.","2","2014",""
"Strategically develop high impact domains like Labour- intensive manufacturing (viz. textile, footwear, electronics assembly, etc.) and Tourism.","2","2014",""
"Strengthen the traditional employment bases of agriculture and allied industries, and retail -through modernization as well as stronger credit and market linkages.","1","2014",""
"Harness the opportunities provided by the upgradation of infrastructure and housing, for its job generating potential.","1","2014",""
"Encourage and empower our youth for self-employment - incubating entrepreneurship as well as facilitating credit. Address the employability issue by initiating a multi-skills development programme in mission mode. Focus will be on job creation and entrepreneurship, in both rural and urban areas.","2","2014",""
"Transform our Employment Exchanges into Career Centres - connecting our youth with job opportunities in a transparent and effective manner through the use of technology; as well as providing counselling and training.","2","2014",""
"Eliminate the scope for corruption.","1","2014",""
"Technology enabled e-Governance -minimizing the discretion in the citizen-government interface.","1","2014",""
"System-based, policy-driven governance - making it transparent.","2","2014",""
"Rationalization and simplification of the tax regime - which is currently repulsive for honest tax payers.","2","2014",""
"simplification of the processes and procedures at all levels bestowing faith in the citizens, Institutions and establishments.","1","2014",""
"We will ensure minimization of the generation of black money. Committed to initiate the process of tracking down and bringing back black money stashed in foreign banks and offshore accounts. We will also proactively engage with foreign governments to facilitate information sharing on black money.","1","2014",""
"We will set up a Task Force for this purpose and to recommend amendments to existing laws or enact new laws.","2","2014",""
"The engine of Government will be ignited again with strong willpower and commitment to public interest.","2","2014",""
"Encourage the bureaucracy to take right decisions and contribute their might in building a modern India.","2","2014",""
"Remove bottlenecks and missing links in all sectors, activities and services.","0","2014",""
"Focus on proper planning and execution for right outcomes","0","2014",""
"Strive for scale and speed with futuristic vision.","2","2014",""
