original_text,label,year,sector
We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,,2019,AGRICULTURE
We will launch a pension scheme for all small and marginal farmers in the country so as to ensure social security to them on reaching years of age,,2019,AGRICULTURE
We are committed to making an investment of Rs.25 lakh crore to improve the productivity of the farm sector,,2019,AGRICULTURE
We will provide short-term new agriculture loans up to Rs. lakh at a 0% interest rate for 1-5 years on the condition of prompt repayment of the principal amount,,2019,AGRICULTURE
We will make enrollment of farmers under the Pradhan Mantri Fasal Bima Yojana voluntary,,2019,AGRICULTURE
We will work towards reducing all agricultural imports and institute a predictable export and import policy with a built-in mechanism for encouraging exports and discouraging imports,,2019,AGRICULTURE
We will ensure timely availability of improved seeds of promising varieties at affordable rates with doorstep testing facilities,,2019,AGRICULTURE
We will launch a new mission to achieve self-sufficiency in oil seeds and other agriproducts.,,2019,AGRICULTURE
We will build an efficient storage and transport mechanism for agriculture produce,,2019,AGRICULTURE
We will establish a National Warehousing Grid along National Highways to ensure necessary logistical linkages for warehousing of agricultural produce,,2019,AGRICULTURE
"To enable the farmer to store the agri-produce near his village and sell at a remunerative price at an appropriate time, we will roll out a new “Village Storage Scheme” of agri-produce. We will provide farmers with loans at cheaper rates on the basis of storage receipt of the agri-produce",,2019,AGRICULTURE
"We will promote chemical-free organic farming in an additional lakh hectare of hilly, tribal and rainfed areas in the next years",,2019,AGRICULTURE
We will launch a dedicated e-commerce portal to enhance the availability of organic produce to the doorsteps of consumers,,2019,AGRICULTURE
Goshalas in the country will be linked to the promotion of organic farming,,2019,AGRICULTURE
Promotion of organic eco-tourism in the vicinity of organic farming will also ensure additional income to the farmers,,2019,AGRICULTURE
"We will launch a National Bee-keeping and Honey Mission to ensure additional returns to the farmers. We will double the honey production from the present 115,000 MT by developing infrastructural facilities and providing marketing support",,2019,AGRICULTURE
Work will soon be completed on Pradhan Mantri Krishi Sinchai Yojana projects in phases up to December,,2019,AGRICULTURE
"We will bring one crore hectares agricultural land under micro-irrigation, this would be supplemented with ‘fertigation’ to promote judicious use of fertilizers.",,2019,AGRICULTURE
We recognize the role of cooperatives and Farmer Producer Organizations (FPOs) can play in ensuring better market linkages and opportunities in the agricultural sector and we are committed to support and strengthen them.,,2019,AGRICULTURE
"We will enable the creation of 10,000 new Farmer Producer Organisations (FPOs) by to ensure economies of scale for farmers regarding access to inputs and markets",,2019,AGRICULTURE
"To cater to the needs of big cities we will set up a mechanism of direct marketing of vegetables, fruits, dairy and fishery products through farmers’ cooperative organizations so as to ensure better price return to the farmers",,2019,AGRICULTURE
We will create a mobile app-based system for promoting the availability of agri-implements on rental/custom hiring basis,,2019,AGRICULTURE
We will extensively use technology to ensure a better knowledge of the market prices of various agri products for the benefit of farmers,,2019,AGRICULTURE
"We will enable development of young agri-scientists to take advantage of Artificial Intelligence, Machine Learning, Blockchain technology, Big Data analytics etc. for more predictive and profitable precision agriculture.",,2019,AGRICULTURE
"On the lines of Aadhaar project, we will digitize land records on a mission mode. We will implement second-generation land reforms to ensure title guarantee for the landholder and reduce land-related litigation",,2019,AGRICULTURE
We will create a model law for conclusive titling (in consultation with states) promoting title guarantee and title insurance and work with,,2019,AGRICULTURE
We have given utmost importance to the dairy sector and have established Kamdhenu Aayog for the conservation of indigenous species of cows. We will establish a network of mobile veterinary dispensaries to provide doorstep service to farmers.,,2019,AGRICULTURE
We will roll out a model programme for periodic health checkup of all cattle and other domestic animals at the district level with the help of veterinary,,2019,AGRICULTURE
We will expand the coverage of immunization and eliminate Foot and Mouth Disease and Brucellosis,,2019,AGRICULTURE
We will launch a National Feed and Fodder Mission to eliminate the shortage of fodder,,2019,AGRICULTURE
"We will launch ‘Matsya Sampada Yojana’ with an allocation of Rs. 10,000 crores to ensure availability of storage and marketing tools and infrastructure like ice-boxes, cold storages, ice-plants etc. for small and traditional fishermen",,2019,AGRICULTURE
We will promote aquaculture through easy access to credit,,2019,AGRICULTURE
"We will facilitate farming of sea-weed, pearl as well as ornamental fish to ensure a better return to the fishermen",,2019,AGRICULTURE
We will bring all fishermen under the ambit of all welfare programmes and social security schemes with expanded coverage for accident insurance,,2019,AGRICULTURE
"We will establish 50,000 ‘Van Dhan Vikas Kendras’ in the tribal areas of the country to ensure the availability of primary processing and value addition for forest produce and to provide employment for tribals and increase tribal income",,2019,AGRICULTURE
We view solar energy as an additional source of income for farmers and will encourage solar farming on a massive scale so as to enable the ‘Annadaata’(food provider) to become ‘Urja-daata’ (energy provider),,2019,ENVIRONMENT
"We will launch ‘Jal Jivan Mission’ under which we will introduce a special program, ‘Nal se Jal’ to ensure piped water connection to every household by",,2019,ENVIRONMENT
"Sustainable Solid Waste Management in every village. Through the mission, we will ensure 100% disposal of liquid waste through emphasis on faecal sludge management and reuse of waste water in rural, peri urban and unsewered areas",,2019,ENVIRONMENT
We will form a new Ministry of Water unifying the water management functions to approach the issue of water management,,2019,ENVIRONMENT
We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,,2019,ENVIRONMENT
"Ensuring a right mix of energy which leads towards a cleaner environment, 8. We will install renewable energy capacity of GW by",,2019,ENVIRONMENT
"We will further make all efforts to invite other countries of the world to become members of the International Solar Alliance We will explore the diversity of our oceans,",,2019,ENVIRONMENT
"have a human crewed submersible going to the deepest oceans that will facilitate sustainable use of resources. With a thrust on non-fossil fuels, our research mission in this area will reduce imports and make India a leader in new technologies",,2019,ENVIRONMENT
"We will get the latest technologies to transform Waste to Energy and Wealth in a major mission, 11. Adoption of cleaner practises to make our nation a greener country",,2019,ENVIRONMENT
"We will convert the National Clean Air Plan into a Mission and we will focus on most polluted cities in the country. Through concerted action, we will reduce the level of pollution in each of the mission cities by at least 35% over the next five years",,2019,ENVIRONMENT
We will ensure the Himalayan States are provided special financial assistance in the form of a 'Green Bonus' to facilitate the protection and promotion of forests in those states,,2019,ENVIRONMENT
We are committed to ensure a clean and uninterrupted flow of river Ganga from Gangotri to Ganga Sagar. We will ensure that the sewerage infrastructure,,2019,ENVIRONMENT
"The villages located on the banks of the river, which are already open defecation free, will be taken up under a special project to ensure complete sustainable management of solid and liquid waste Under the ‘​​Namami Gange: A matter of Pride’ section of the manifesto.",,2019,ENVIRONMENT
We will promote Yoga as a vital method to achieve physical wellness and spiritual rejuvenation across the globe and will continue to work towards training of Yoga practitioners,,2019,HEALTH
"We will undertake a rapid expansion of Yoga    h health hubs, Yoga tourism and research in Yoga                       h",,2019,HEALTH
We are committed to leverage all resources to ensure that the out-of-pocket expenditure (OOPE) on health is reduced and all citizens can avail necessary medical services. +,,2019,HEALTH
"We also initiated a programme to set up 1,50,000 Health and Wellness Centres (HWCs) by 2022. Till date 17,150 HWCs have become functional. We will take up the programme of HWCs to next level. We will target provisioning of telemedicine and diagnostic laboratory facilities at these HWCs by to ensure quality primary medical care to the poor at his doorstep.",,2019,HEALTH
We will create an essential devices list and a separate pricing policy for medical devices to,,2019,HEALTH
75 Medical Institutes will be set up by 2022. This would ensure availability and accessibility of quality secondary and tertiary medical care to the citizens across the diverse landscape of our country (+),,2019,HEALTH
We will double the number of MBBS and Specialist doctors in the country by as compared to the work done from till,,2019,HEALTH
"We will also accelerate the reforms in para-medical education sector so as to increase the availability of nurses, pharmacists and other paramedical personnel.",,2019,HEALTH
We will initiate a genome mission for human health that will bring the latest diagnosis and treatment to our entire population through frugal innovation,,2019,HEALTH
We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,,2019,HEALTH
"The Technology Centres, other skilling centres of MSMEs and NSICs incubation centres alone would provide focussed and high-level skilling to more than lakh people per year",,2019,EDUCATION
"We will launch a Language Translation Mission that will enable ready translation of English text in Science & Technology and humanities in any of our languages. This will take the best works, bilingually, to every student in the country",,2019,EDUCATION
"We will take all           h necessary steps to increase the number of     h seats in Central Law, Engineering, Science and Management institutions by at least   h 50% in the next five years. We will also        h motivate States to accordingly increase the number of seats in State h institutions h h h h n h",,2019,EDUCATION
We have given due emphasis to online courses as a medium of delivering education in the last five years. We will take it to the next level and make it a major resource for imparting higher education.,,2019,EDUCATION
We will relook the role of existing regulatory institutions’ and make necessary changes in the,,2019,EDUCATION
We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,,2019,EDUCATION
