2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year
10 YEARS OF GOOD GOVERNANCE AND VIKAS THE LAST 10 YEARS PRESENTED A UNIQUE MODEL OF INCLUSIVE GROWTH TO THE WORLD GARIB PARIVAR JAN 80+ crore citizens are receiving free rations since 2020 through PM Garib Kalyan Anna Yojana 50+ crore citizens have joined the banking system through PM Jan Dhan Account Empowered citizens by transferring ₹34 lakh crore directly to their accounts 34+ crore citizens are receiving free health insurance of ₹5 lakh under Ayushman Bharat 4+ crore families now have pucca houses under the PM Awas Yojana and other initiatives 14+ crore families have access to clean tap water under the Jal Jeevan Mission,Low Confidence: Partial,0.509,Ensure every citizen has access to a bank account,2019
25 crore citizens have come out of poverty with our inclusive approach NARI SHAKTI Lives of 10+ crore women have been transformed due to free gas connections under the PM Ujjwala Yojana Empowered Muslim women by protecting them from the barbaric practice of Triple Talaq 11+ crore women are leading dignified lives by using toilets built under the Swachh Bharat Mission. 6+ crore mothers and children have been vaccinated under Mission Indradhanush Increased paid maternity leave from,Low Confidence: Partial,0.5179,"We will transform the quality of life of women in Rural India by providing electricity, tapped water, cleaner fuel and toilets in every home.",2014
12 to 26 weeks,Indeterminate,0.3944,time-bound delivery,2014
5 5,Indeterminate,0.3303,Ensure the availability of banking services within 5 kms of every individual,2019
"7 IITs, 16 IIITs, 7 IIMs, 15 AIIMS, 315 Medical Colleges and 390 universities have been set up. 1.4+ crore young citizens availed skill training under the PM Kaushal Vikas Yojana Enabled the creation of the world’s third-largest startup ecosystem Enacted the Public Examinations (Prevention of Unfair Means) Act 2024 to prevent paper leaks Supported 280 athletes to excel in the Olympics and other sporting events under TOPS. KISAN SAMMAN 11+ crore farmers are receiving ₹6,000 annually under the PM KISAN Unprecedented hike in MSP 5x increase in the agriculture budget from 2013 to 2024 Livelihood of 4+ crore farmers protected under the PM Fasal Bima Yojana Ensured affordable fertilisers despite huge increase in global prices by providing subsidies worth ₹11 lakh crore. 6",Low Confidence: Highly Likely,0.5582,Establish sports academies across the country.,2014
"7 IITs, 16 IIITs, 7 IIMs, 15 AIIMS, 315 Medical under Stand Up India Colleges and 390 universities have been set up. Focus on 112 aspirational districts and 500 aspirational blocks to bring them on par 1.4+ crore young citizens availed skill training under the PM Kaushal Vikas Yojana Started PM Janman Yojana for Particularly Vulnerable Tribal groups with an outlay of ₹24,000+ crore Enabled the creation of the world’s Started Vibrant Villages programme to develop 662 border villages with an outlay of ₹4,800 crore third-largest startup ecosystem Established the basic social security framework for unorganised workers by ensuring their Enacted the Public Examinations (Prevention of recognition and registration through e-Shram and starting schemes like Atal Pension Yojana, PM Unfair Means) Act 2024 to prevent paper leaks Shramyogi Maandhan Yojana and PM Jeevan Jyoti Beema Yojana Supported 280 athletes to excel in the Olympics and other sporting events under TOPS. KISAN SAMMAN 11+ crore farmers are receiving ₹6,000 annually under the PM KISAN Unprecedented hike in MSP 5x increase in the agriculture budget from 2013 to 2024 Livelihood of 4+ crore farmers protected under the PM Fasal Bima Yojana Ensured affordable fertilisers despite huge increase in global prices by providing subsidies worth ₹11 lakh crore.",Low Confidence: Partial,0.5755,"Increase the number of medical and para-medical colleges to make India self sufficient in human resources, and set up an AIIMS like institute in every state.",2014
7 7,Indeterminate,0.3656,Poshan Abhiyaan.,2019
9 9,Indeterminate,0.3965,people-centric,2014
far-reaching benefits of this programme. We will now further expand the PM Awas Yojana to ensure every garib parivar has access to quality housing. Har Ghar Nal se Jal,Low Confidence: Partial,0.5819,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019
"We will ensure clean drinking water, Har Ghar Nal se Jal for all households in villages, towns and cities. We will extensively use technology to reduce the wastage of water. Slum Redevelopment",High Confidence: Partial,0.7029,We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,2019
We have successfully provided houses to many slum dwellers. We will scale it up by making new policies to construct houses on slum land so low-income families can be rehabilitated into high-quality houses. Clean Cooking Fuel,Moderate Confidence: Highly Likely,0.6055,"Will roll out a massive Low cost Housing programme to ensure that by the time the nation 32 completes 75 years of its Independence, every family will have a pucca house of its own. Our proposed programme will further ensure that these houses are equipped with the basic facilities of toilet, piped water supply, electricity and proper Access. Prioritize all our resources towards this goal.",2014
Under PM Ujjwala Yojana more than 10 crore beneficiaries have been provided LPG connections. We will continue this and expand the programme. Zero Electricity Bill MODI KI,Low Confidence: Partial,0.5494,Ensure LPG gas cylinder connection to all poor rural households,2019
We will provide free electricity to poor households under PM Surya Ghar Muft Bijli Yojana. GUARANTEE FOR GARIB PARIVAR JAN We are committed to supporting every garib parivar in coming out of poverty and leading a dignified life. We have undertaken various measures for Garib Kalyan in the,Low Confidence: Unlikely,0.5384,Ensure 100% electrification of all households,2019
"last ten years with good results. We will continue to focus on empowering our garib parivar jan to improve their quality of life, increase income, and live with dignity. Free Ration for the Next 5 Years",Indeterminate,0.4651,We will endeavour to make the National Nutrition Mission a mass movement and strengthen infrastructure and capacity in all Anganwadis,2019
We have provided free ration to 80+ crore citizens since 2020. We will continue to provide free ration for the next five years under PM Garib Kalyan Anna Yojana. Expanding Our Efforts to Protect Garib ki Thali We have worked on protecting garib ki thali by establishing a price stabilisation fund for vegetables and,Indeterminate,0.4913,Pradhan Mantri Kisan Samman Nidhi Yojana to ensure financial support to farmers owning land up to 2 hectares.,2019
"pulses. We will expand our efforts to protect the garib ki thali by becoming Atmanirbhar in the production of pulses, edible oils and vegetables. Continue Providing Free and Quality Health Care We have provided quality free health treatment of up to ₹5 lakh to poor families under Ayushman",Low Confidence: Partial,0.5323,We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,2019
Bharat. We will continue to provide free health treatment by strengthening Ayushman Bharat and other such initiatives.,Moderate Confidence: Highly Likely,0.6836,Establish 1.5 lakh health and wellness centres under Ayushman Bharat.,2019
11 11,Indeterminate,0.4484,Poshan Abhiyaan.,2019
far-reaching benefits of this programme. We will now further expand the PM Awas Yojana to ensure every garib parivar has access to quality housing. Har Ghar Nal se Jal,Low Confidence: Partial,0.5819,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019
"We will ensure clean drinking water, Har Ghar Nal se Jal for all households in villages, towns and cities. We will extensively use technology to reduce the wastage of water. Slum Redevelopment",High Confidence: Partial,0.7029,We will ensure sustainability of water supply through special focus on conservation of rural water bodies and ground water recharge,2019
We have successfully provided houses to many slum dwellers. We will scale it up by making new policies to construct houses on slum land so low-income families can be rehabilitated into high-quality houses. Clean Cooking Fuel,Moderate Confidence: Highly Likely,0.6055,"Will roll out a massive Low cost Housing programme to ensure that by the time the nation 32 completes 75 years of its Independence, every family will have a pucca house of its own. Our proposed programme will further ensure that these houses are equipped with the basic facilities of toilet, piped water supply, electricity and proper Access. Prioritize all our resources towards this goal.",2014
Under PM Ujjwala Yojana more than 10 crore beneficiaries have been provided LPG connections. We will continue this and expand the programme. Zero Electricity Bill,Low Confidence: Partial,0.5493,Ensure LPG gas cylinder connection to all poor rural households,2019
We will provide free electricity to poor households under PM Surya Ghar Muft Bijli Yojana. Free Ration for the Next 5 Years,Moderate Confidence: Unlikely,0.6295,Ensure 100% electrification of all households,2019
We have provided free ration to 80+ crore citizens since 2020. We will continue to provide free ration for the next five years under PM Garib Kalyan Anna Yojana. Expanding Our Efforts to Protect Garib ki Thali We have worked on protecting garib ki thali by establishing a price stabilisation fund for vegetables and,Indeterminate,0.4913,Pradhan Mantri Kisan Samman Nidhi Yojana to ensure financial support to farmers owning land up to 2 hectares.,2019
"pulses. We will expand our efforts to protect the garib ki thali by becoming Atmanirbhar in the production of pulses, edible oils and vegetables. Continue Providing Free and Quality Health Care We have provided quality free health treatment of up to ₹5 lakh to poor families under Ayushman",Low Confidence: Partial,0.5323,We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,2019
Bharat. We will continue to provide free health treatment by strengthening Ayushman Bharat and other such initiatives. 1122,Moderate Confidence: Highly Likely,0.6916,Establish 1.5 lakh health and wellness centres under Ayushman Bharat.,2019
"We will expand Bharat's top-tier startup ecosystem to tier-2 and tier-3 cities. Further, we will transform Bharat into a global centre for high quality services including tourism to generate high value and diverse employment opportunities nationwide. Ensuring Quality Health Care for the Middle Class We have provided high quality healthcare services to the middle class families by expanding the AIIMS and Ayushman Arogya Mandir network. We have provided subsidised medicines through Jan Aushadhi",Moderate Confidence: Highly Likely,0.6215,Establish 1.5 lakh health and wellness centres under Ayushman Bharat.,2019
Kendras and also established 315 new medical colleges across the country. We will continue to expand these services for our middle class families to ensure accessible high quality healthcare services. Promoting Quality Higher Education,Low Confidence: Partial,0.5648,75 Medical Institutes will be set up by 2022. This would ensure availability and accessibility of quality secondary and tertiary medical care to the citizens across the diverse landscape of our country (+),2019
We will elevate the quality of education by expanding top educational institutions and upgrading,Moderate Confidence: Partial,0.6767,We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,2019
"universities to global standards. We will introduce more IITs, IIMs, AIIMS and other such institutes. We will launch internship programmes to blend academic and practical skills. Improving Infrastructure for Ease of Living MODI KI",Moderate Confidence: Partial,0.602,We will encourage academic institutions towards excellence and motivate more such institutions to rank among the top institutions of the world,2019
