PROMISE,STATUS AND COMMENTS,LINKS
Complete Phase-1 of Bharatmala Project expeditiously,"The original deadline for completion has been extended by six years to FY28. The cost has more than doubled, and as of November-end, only 42% of the project has been completed. There are significant increases in per kilometer cost, and due to financial constraints, the pace of awarding projects has been slow.",Financial Express on Bharatmala Phase-1
Develop National Highways Infrastructure,"- Total length of national highways increased by 60% to 1,46,145 km by December 2023.<br>- Four-lane and above highways increased by 2.5 times to 46,179 km.<br>- High-speed corridors length increased to 3,913 km.<br>- Decrease in less developed highways from 30% to 10%.<br>- Road Ministry constructed 6,217 km of national highways up to December in the 2023-24 financial year.<br>- Expenditure on highways construction expected to increase by 9.4 times to ₹3.17 lakh crore.","CNBC TV18 on National Highways, Statista on National Highways"
100% waste collection to achieve ODF+ and ODF++,"Govt: All cities declared ODF; significant infrastructure for waste management built. Reality: Persistent manual scavenging, misreported ODF status, deaths during scavenging, issues with fund allocation and toilet usage.","CNBC TV18, The Wire, BBC"
Achieve 175 GW of renewable energy capacity,119 GW achieved out of 175 GW. Solar: 62 GW; Wind: 42 GW; Bio-Power: 10.7 GW; Small Hydro: 4.9 GW. Including large hydro: 165.94 GW.,Scroll.in Analysis
Strive to achieve 10% blending of ethanol in petrol,"Ethanol Blending Goal: 10% achieved, aiming for 20% by 2025. Ethanol primarily from grains and sugarcane. Environmental Impact: Reduction in greenhouse gas emissions. Implementation Phases: Gradual expansion to 20% blending. Raw Material Challenges: Reliance on water-intensive crops, supply issues, and price fluctuations. Sugar Industry’s Role: Crucial in ethanol production, affected by rainfall patterns and potential export bans.",
Connect every Gram Panchayat with high-speed optical fiber,"BharatNet Expansion: Target expanded to 6.4 lakh villages with Rs 1.4 trillion budget. Current Progress: 1.94 lakh villages connected, 203,436 gram panchayats service-ready, and 669,012 FTTH connections provided. Future Plans: BSNL to use satellite and FWA technologies for remote areas, implementation set to begin by 2024.",Financial Express on BharatNet Project
Supply of piped cooking gas in major Tier 1 and 2 cities,"Significant progress with 300 Geographical Areas authorized, covering 98% of the population. Target of 12.5 crore PNG connections by 2030. Over 82% land area and 98% population expected to be covered.",The Indian Wire on Piped Cooking Gas
Form a new Ministry of Water,"Budget allocation vs. expenditure gaps, decreased funding in critical schemes, inefficiencies in Jal Jeevan Mission, failure in river clean-up efforts, groundwater depletion, social and financial inequalities in water access.","The Hindu on River Cleaning, Rising Kashmir on Jal Shakti Protest, The Wire on Water Governance, PIB on Jal Shakti Ministry"
Increase operational airports to 150,"Initial Promise: 100 airports by 2024 under RCS-UDAN | Current Status: 131 operational airports (29 international) | Expansion Plans: 220 airports by 2025 | Investment: $1.83 billion by 2026 | Operationalized Airports: 74 added since 2014 | Passenger Growth Target: Triple to 40 crore by 2023-24 | Traffic Data (Jan-May 2023): 636.07 lakh passengers, 36.10% growth","https://www.ndtv.com/india-news/ndtv-explainer-the-challenges-indias-aviation-industry-is-facing-4543020
 https://infra.economictimes.indiatimes.com/news/aviation/india-will-have-220-airports-in-next-2-3-years-says-scindia/100825757
 https://newsonair.gov.in/News?title=Govt-sets-a-target-of-creating-220-new-airports-by-2025-informs%2C-Civil-Aviation-Minister-Jyotiraditya-Scindia-in-LS&id=437727#:~:text=Civil%20Aviation%20Minister%20Jyotiraditya%20Scindia%20today%20said%20that%20the%20Government,for%202022%2D23%2C%20Mr.
 https://www.financialexpress.com/business/airlines-aviation-aviation-boom-in-india-rising-airfares-other-factors-may-attract-big-corporates-to-enter-this-sector-3165267/"
Increase port capacity to 2500 MTPA,"Slow utilization of funds for Sagarmala projects: Out of 44 projects, funds have not been released for 31 | Inadequate project completion: Only 15 out of 60 sanctioned projects completed | Budget allocation and utilization issues: Reduced allocation in Revised Estimates and unutilized funds in areas like the Indian Maritime University and IWAI | Turnaround time improvement: Average turnaround time at Indian ports reduced from 52.80 hours in 2014-15 to 50.01 hours in December 2022, but still higher than international standards | International performance: India's major ports not in the top 20 globally on any performance index and low score on liner shipping bilateral connectivity index.","https://www.thehindubusinessline.com/economy/logistics/standing-committee-unhappy-with-slow-utlisation-of-funds-under-sagarmala-project/article66618731.ece
 https://www.careratings.com/Uploads/media/24032022104613_Arunava_Paul_BS_Poor_planning_on_container_traffic_haunting_shippers.pdf"
Ensure conversion of all viable rail tracks to broad gauge by 2022.,"- Completed 2022 TKM of new lines, gauge conversion, and multi-tracking by 12th December 2022. | - Doubling and multi-tracking increased from an average of 375 km/year (2009-14) to 1394 km/year (2014-22). | - Major projects like Daund-Gulbarga doubling, Vijayawada-Gudivada-Bhimavaram doubling, Secunderabad-Mahbubnagar doubling. | - Notable gauge conversion projects include Ahmedabad-Himmatnagar-Udaipur. | - New line projects such as Bhadrachallam-Sattupalli in Telangana. | - Integration of Gati Shakti Principles for multi-modal connectivity.",https://pib.gov.in/PressReleasePage.aspx?PRID=1883190
"Make all efforts to ensure electrification of all railway tracks by 2022, smart railways across India.","- As of 2022-23, 83% of the total broad gauge network electrified | - Record electrification of 6542 Route Kilometers (RKMs) achieved in 2022-23 | - 1,161 kilometers of double lines and 296 kilometers of sidings electrified, totaling 4100 Track Kilometers (TKMs) in 2022-23 | - 41% increase in electrification compared to the previous year | - North Central Railway and five other zonal railways 100% electrified | - The state of Uttarakhand achieved 100% electrification.",https://timesofindia.indiatimes.com/blogs/voices/indian-railways-issues-of-concern-hope-for-future/
